imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,aveImgS,dSdskip,pixVar,clustVar,tailRatio,DC,EXP,AMPL,HCKDIRN,VCKDIRN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_04.fits,25,30000,200,97.43317532777411,51 +/- 4.6e+03,6.082831928229476,-12 +/- 8.1,285690.39886578446,1017.2249527410208,417.9659285149176,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-12.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_02.fits,25,30000,200,32.80157243465628,-1 +/- -1,4.0111283541087825,-17 +/- 12,238272.06994328919,569.234404536862,22.233629813971632,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-12.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_12.fits,1,1200,1000,810.0957699003676,3.9 +/- 12,8.026172884568778,-1 +/- -1,-1.0,-1.0,4641.039993774063,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-8.0,5.0,-4.0,3.0,-3.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_09.fits,25,30000,200,38.44611317472448,13 +/- 0.24,4.7833996962524985,-21 +/- 15,3425506.7939508506,614.3156899810965,4642.750272990402,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-8.0,5.0,-4.0,3.0,-3.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_03.fits,25,30000,200,34.77821524861275,4.8 +/- 0.036,4.172702124613523,-19 +/- 13,356606.3799621928,556.7448015122874,4435.938047736993,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-12.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_08.fits,25,30000,200,36.829945466146654,15 +/- 0.43,4.707932258038736,-21 +/- 15,2107361.1153119095,604.0718336483931,4639.724394374704,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-8.0,5.0,-4.0,3.0,-3.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_05.fits,25,30000,200,97.29853030709683,1.3e+04 +/- 8.5e+10,6.112408686157604,-13 +/- 8.9,441411.80907372397,1014.2306238185256,232.0717336796539,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-12.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_06.fits,25,30000,200,94.91607895759496,5.8 +/- 3.4,6.097822597651569,-14 +/- 9.5,598546.540642722,1009.5538752362952,124.19258310294634,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-8.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_10.fits,25,30000,200,272.62235708687683,-1 +/- -1,7.16798726857037,-1.8 +/- 1.3,2362712.2060491494,34611.986767485825,4625.779040765501,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-8.0,5.0,-4.0,3.0,-3.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_01.fits,1,1200,3500,81.73766475502404,-1 +/- -1,6.147407950349791,-1 +/- -1,-1.0,-1.0,4432.179192317921,-1,2.0,L,L,12,4.5,1,2.5,2.0,2.0,0.25,0.5,0.5,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,6.25,1.0,6.25,1.0,0.0,-6.0,-12.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
