imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,aveImgS,dSdskip,pixVar,clustVar,tailRatio,DC,EXP,AMPL,HCKDIRN,VCKDIRN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_04.fits,4000,4800000,20,90.05388352567843,1.8 +/- 0.32,1.9327861701487163,0.012 +/- 0.11,9549.918056577064,8135.241396367268,52.623975890988994,1.2 +/- 1.2,2.0,L,U,1,2.2,1,0.4,0.24,0.24,0.12,0.24,0.12,-1,-1,-1,-1,8.0,4.5,8.0,4.5,10.0,10.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,-1,-1
Img_02.fits,1,1200,3100,90.19089192493513,-1 +/- -1,5.936667691613453,-1 +/- -1,-1.0,-1.0,0.53472749695773,-1,2.0,L,U,12,2.2,1,0.4,0.24,0.24,0.12,0.24,0.12,-1,-1,-1,-1,8.0,4.5,8.0,4.5,10.0,10.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,-1,-1
Img_03.fits,4000,4800000,10,89.85206009862888,2 +/- 0.1,2.3550190719332518,-0.21 +/- 0.13,9540.390000402902,8024.130487392271,7.893596383659872,0 +/- 0,2.0,L,U,1,2.2,1,0.4,0.24,0.24,0.12,0.24,0.12,-1,-1,-1,-1,8.0,4.5,8.0,4.5,10.0,10.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,-1,-1
Img_01.fits,1,1200,3100,90.3896762226559,-1 +/- -1,5.939125587276276,-1 +/- -1,-1.0,-1.0,0.5262397589108255,-1,2.0,L,U,12,2.2,1,0.4,0.24,0.24,0.12,0.24,0.12,-1,-1,-1,-1,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,-1,-1
Img_14.fits,1,1200,1200,76.13746009302773,-1 +/- -1,5.899363534795119,-1 +/- -1,-1.0,-1.0,59.99133251582617,-1,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.0,-4.0,2.21,2.21
Img_22.fits,4000,2400000,20,155.00027105198274,2.9 +/- 0.057,2.716850003948568,0.095 +/- 0.15,23945.54752063375,23969.43496401152,15.78719276731572,0 +/- 0,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.0,-3.0,2.21,2.21
Img_23.fits,4000,2400000,20,256.13669246150187,8 +/- 0.3,4.6353056826603005,-11 +/- 2.6,114660.32253370309,6972466.605646276,0.0,0 +/- 0,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.35,-3.35,2.21,2.21
Img_04.fits,1,1200,1200,91.09136822891975,-1 +/- -1,6.2153627700871965,-1 +/- -1,-1.0,-1.0,33.41622469083363,-1,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.5,-3.5,2.21,2.21
Img_18.fits,4000,2400000,20,77.07954564764249,1.9 +/- 0.062,2.8280268650695186,-0.43 +/- 0.24,7272.288569059417,1855767.1600755355,110.51034937146932,0 +/- 0,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.0,-5.0,2.21,2.21
Img_02.fits,4000,2400000,20,80.41730962099554,1.7 +/- 0.058,4.361927294733472,-0.4 +/- 0.16,7215.223334685102,4234046.494454956,0.0,1 +/- 0.025,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_12.fits,1,1200,1200,115.64534479128564,37 +/- 37,6.41714285569873,-1 +/- -1,-1.0,-1.0,27.78107393916475,-1,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.45,-3.45,2.21,2.21
Img_20.fits,4000,2400000,20,77.03652055438629,1.6 +/- 0.05,3.13980762374158,-0.17 +/- 0.15,7151.608517052422,2511299.7057095645,1507.6769092765785,0.27 +/- 0.0075,2.0,U,U,1,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.75,-3.75,2.21,2.21
